"","Call.Id","Agent","Date","Time","Topic","Answered","Resolved","Speed_of_answer_in_seconds","AvgTalkDuration","Satisfaction_rating","AvgTalkDuration_seconds","AvgTalkDuration_minutes","Year","Month","Weekday","Hour","Time_Category"
"43","ID0043","Diane",2021-01-01,"14:47:02","Technical Support","Y","Y",45,"0:06:21",3,381.1763889,6.35,2021,1,"Fri",14,"Afternoon"
"44","ID0044","Becky",2021-01-01,"14:47:02","Payment related","Y","Y",98,"0:03:14",5,194.0898148,3.233333333,2021,1,"Fri",14,"Afternoon"
"45","ID0045","Diane",2021-01-01,"15:44:38","Admin Support","Y","Y",25,"0:05:13",5,313.1449074,5.216666667,2021,1,"Fri",15,"Afternoon"
"46","ID0046","Jim",2021-01-01,"15:44:38","Contract related","N","N",NA,"",NA,0,0,2021,1,"Fri",15,"Afternoon"
"47","ID0047","Dan",2021-01-01,"17:13:55","Admin Support","Y","Y",107,"0:02:22",3,142.0657407,2.366666667,2021,1,"Fri",17,"Afternoon"
"48","ID0048","Martha",2021-01-01,"17:13:55","Contract related","N","N",NA,"",NA,0,0,2021,1,"Fri",17,"Afternoon"
"49","ID0049","Joe",2021-01-01,"17:25:26","Technical Support","Y","Y",104,"0:03:35",5,215.099537,3.583333333,2021,1,"Fri",17,"Afternoon"
"50","ID0050","Dan",2021-01-01,"17:25:26","Technical Support","N","N",NA,"",NA,0,0,2021,1,"Fri",17,"Afternoon"
"51","ID0051","Martha",2021-01-01,"17:35:31","Contract related","N","N",NA,"",NA,0,0,2021,1,"Fri",17,"Afternoon"
"52","ID0052","Jim",2021-01-01,"17:35:31","Admin Support","N","N",NA,"",NA,0,0,2021,1,"Fri",17,"Afternoon"
"53","ID0053","Stewart",2021-01-01,"17:36:58","Payment related","Y","Y",13,"0:01:15",5,75.03472222,1.25,2021,1,"Fri",17,"Afternoon"
"54","ID0054","Dan",2021-01-01,"17:36:58","Payment related","Y","Y",119,"0:02:32",5,152.0703704,2.533333333,2021,1,"Fri",17,"Afternoon"
"55","ID0055","Becky",2021-01-01,"17:44:10","Streaming","Y","Y",35,"0:01:19",3,79.03657407,1.316666667,2021,1,"Fri",17,"Afternoon"
"56","ID0056","Dan",2021-01-01,"17:44:10","Streaming","Y","Y",83,"0:06:45",4,405.1875,6.75,2021,1,"Fri",17,"Afternoon"
"57","ID0057","Jim",2021-01-01,"17:57:07","Technical Support","Y","Y",48,"0:02:52",2,172.0796296,2.866666667,2021,1,"Fri",17,"Afternoon"
"58","ID0058","Stewart",2021-01-01,"17:57:07","Admin Support","Y","Y",45,"0:03:23",5,203.0939815,3.383333333,2021,1,"Fri",17,"Afternoon"
"59","ID0059","Dan",2021-01-02,"9:05:46","Technical Support","Y","Y",65,"0:06:00",5,360.1666667,6,2021,1,"Sat",9,"Morning"
"60","ID0060","Dan",2021-01-02,"9:05:46","Contract related","Y","Y",50,"0:04:26",3,266.1231481,4.433333333,2021,1,"Sat",9,"Morning"
"61","ID0061","Diane",2021-01-02,"9:18:43","Streaming","Y","Y",17,"0:06:15",3,375.1736111,6.25,2021,1,"Sat",9,"Morning"
"62","ID0062","Joe",2021-01-02,"9:18:43","Technical Support","N","N",NA,"",NA,0,0,2021,1,"Sat",9,"Morning"
"63","ID0063","Dan",2021-01-02,"9:20:10","Streaming","Y","Y",96,"0:06:46",1,406.187963,6.766666667,2021,1,"Sat",9,"Morning"
"64","ID0064","Stewart",2021-01-02,"9:20:10","Streaming","Y","Y",90,"0:06:23",3,383.1773148,6.383333333,2021,1,"Sat",9,"Morning"
"65","ID0065","Jim",2021-01-02,"9:38:53","Contract related","Y","Y",98,"0:06:25",2,385.1782407,6.416666667,2021,1,"Sat",9,"Morning"
"66","ID0066","Diane",2021-01-02,"9:38:53","Technical Support","Y","N",90,"0:01:23",4,83.03842593,1.383333333,2021,1,"Sat",9,"Morning"
"67","ID0067","Jim",2021-01-02,"10:04:48","Contract related","Y","Y",98,"0:05:49",5,349.1615741,5.816666667,2021,1,"Sat",10,"Morning"
"68","ID0068","Jim",2021-01-02,"10:04:48","Contract related","Y","Y",70,"0:03:12",5,192.0888889,3.2,2021,1,"Sat",10,"Morning"
"69","ID0069","Diane",2021-01-02,"10:33:36","Contract related","Y","Y",69,"0:04:45",4,285.1319444,4.75,2021,1,"Sat",10,"Morning"
"70","ID0070","Diane",2021-01-02,"10:33:36","Admin Support","N","N",NA,"",NA,0,0,2021,1,"Sat",10,"Morning"
"71","ID0071","Joe",2021-01-02,"11:08:10","Technical Support","Y","Y",120,"0:02:11",4,131.0606481,2.183333333,2021,1,"Sat",11,"Morning"
"72","ID0072","Stewart",2021-01-02,"11:08:10","Admin Support","Y","Y",113,"0:05:51",5,351.1625,5.85,2021,1,"Sat",11,"Morning"
"73","ID0073","Greg",2021-01-02,"11:26:53","Payment related","Y","N",10,"0:02:19",5,139.0643519,2.316666667,2021,1,"Sat",11,"Morning"
"74","ID0074","Becky",2021-01-02,"11:26:53","Contract related","Y","Y",122,"0:04:53",1,293.1356481,4.883333333,2021,1,"Sat",11,"Morning"
"75","ID0075","Stewart",2021-01-02,"11:42:43","Technical Support","Y","N",125,"0:01:38",3,98.04537037,1.633333333,2021,1,"Sat",11,"Morning"
"76","ID0076","Diane",2021-01-02,"11:42:43","Admin Support","N","N",NA,"",NA,0,0,2021,1,"Sat",11,"Morning"
"77","ID0077","Martha",2021-01-02,"11:47:02","Technical Support","Y","Y",33,"0:06:38",2,398.1842593,6.633333333,2021,1,"Sat",11,"Morning"
"78","ID0078","Dan",2021-01-02,"11:47:02","Contract related","Y","Y",51,"0:06:22",2,382.1768519,6.366666667,2021,1,"Sat",11,"Morning"
"79","ID0079","Becky",2021-01-02,"11:54:14","Contract related","Y","Y",58,"0:03:28",3,208.0962963,3.466666667,2021,1,"Sat",11,"Morning"
"80","ID0080","Dan",2021-01-02,"11:54:14","Admin Support","Y","Y",121,"0:04:47",5,287.1328704,4.783333333,2021,1,"Sat",11,"Morning"
"81","ID0081","Diane",2021-01-02,"12:00:00","Admin Support","Y","Y",118,"0:02:06",4,126.0583333,2.1,2021,1,"Sat",12,"Morning"
"82","ID0082","Greg",2021-01-02,"12:00:00","Payment related","Y","Y",52,"0:06:56",4,416.1925926,6.933333333,2021,1,"Sat",12,"Morning"
"83","ID0083","Stewart",2021-01-02,"12:20:10","Admin Support","Y","Y",55,"0:04:44",3,284.1314815,4.733333333,2021,1,"Sat",12,"Morning"
"84","ID0084","Dan",2021-01-02,"12:20:10","Contract related","Y","Y",68,"0:05:59",4,359.1662037,5.983333333,2021,1,"Sat",12,"Morning"
"85","ID0085","Becky",2021-01-02,"12:41:46","Technical Support","Y","Y",106,"0:04:22",5,262.1212963,4.366666667,2021,1,"Sat",12,"Morning"
"86","ID0086","Martha",2021-01-02,"12:41:46","Technical Support","Y","Y",32,"0:04:36",3,276.1277778,4.6,2021,1,"Sat",12,"Morning"
"87","ID0087","Jim",2021-01-02,"12:44:38","Payment related","N","N",NA,"",NA,0,0,2021,1,"Sat",12,"Morning"
"88","ID0088","Martha",2021-01-02,"12:44:38","Admin Support","Y","N",45,"0:01:26",4,86.03981481,1.433333333,2021,1,"Sat",12,"Morning"
"89","ID0089","Joe",2021-01-02,"12:59:02","Technical Support","Y","Y",119,"0:03:32",4,212.0981481,3.533333333,2021,1,"Sat",12,"Morning"
"90","ID0090","Dan",2021-01-02,"12:59:02","Streaming","N","N",NA,"",NA,0,0,2021,1,"Sat",12,"Morning"
"91","ID0091","Jim",2021-01-02,"13:03:22","Contract related","Y","Y",46,"0:05:41",1,341.1578704,5.683333333,2021,1,"Sat",13,"Afternoon"
"92","ID0092","Stewart",2021-01-02,"13:03:22","Technical Support","Y","Y",101,"0:01:28",3,88.04074074,1.466666667,2021,1,"Sat",13,"Afternoon"
"93","ID0093","Jim",2021-01-02,"13:04:48","Technical Support","Y","Y",56,"0:02:52",3,172.0796296,2.866666667,2021,1,"Sat",13,"Afternoon"
"94","ID0094","Becky",2021-01-02,"13:04:48","Technical Support","Y","Y",80,"0:00:53",3,53.02453704,0.883333333,2021,1,"Sat",13,"Afternoon"
"95","ID0095","Diane",2021-01-02,"13:13:26","Streaming","Y","Y",24,"0:01:36",3,96.04444444,1.6,2021,1,"Sat",13,"Afternoon"
"96","ID0096","Stewart",2021-01-02,"13:13:26","Payment related","Y","Y",113,"0:03:54",2,234.1083333,3.9,2021,1,"Sat",13,"Afternoon"
"97","ID0097","Greg",2021-01-02,"13:20:38","Contract related","Y","Y",19,"0:02:03",4,123.0569444,2.05,2021,1,"Sat",13,"Afternoon"
"98","ID0098","Martha",2021-01-02,"13:20:38","Streaming","N","N",NA,"",NA,0,0,2021,1,"Sat",13,"Afternoon"
"99","ID0099","Dan",2021-01-02,"13:20:38","Contract related","Y","Y",45,"0:06:37",3,397.1837963,6.616666667,2021,1,"Sat",13,"Afternoon"
"100","ID0100","Diane",2021-01-02,"13:20:38","Technical Support","Y","Y",95,"0:05:11",1,311.1439815,5.183333333,2021,1,"Sat",13,"Afternoon"
"101","ID0101","Becky",2021-01-02,"13:45:07","Technical Support","N","N",NA,"",NA,0,0,2021,1,"Sat",13,"Afternoon"
"102","ID0102","Martha",2021-01-02,"13:45:07","Technical Support","Y","N",79,"0:05:31",1,331.1532407,5.516666667,2021,1,"Sat",13,"Afternoon"
"103","ID0103","Diane",2021-01-02,"13:49:26","Payment related","Y","Y",22,"0:03:56",2,236.1092593,3.933333333,2021,1,"Sat",13,"Afternoon"
"104","ID0104","Martha",2021-01-02,"13:49:26","Contract related","Y","Y",38,"0:06:36",1,396.1833333,6.6,2021,1,"Sat",13,"Afternoon"
"105","ID0105","Becky",2021-01-02,"13:53:46","Technical Support","Y","Y",112,"0:03:25",5,205.0949074,3.416666667,2021,1,"Sat",13,"Afternoon"
"106","ID0106","Becky",2021-01-02,"13:53:46","Payment related","Y","Y",65,"0:04:57",3,297.1375,4.95,2021,1,"Sat",13,"Afternoon"
"107","ID0107","Joe",2021-01-02,"14:22:34","Streaming","N","N",NA,"",NA,0,0,2021,1,"Sat",14,"Afternoon"
"108","ID0108","Becky",2021-01-02,"14:22:34","Contract related","Y","N",55,"0:02:32",1,152.0703704,2.533333333,2021,1,"Sat",14,"Afternoon"
"109","ID0109","Stewart",2021-01-02,"14:52:48","Admin Support","N","N",NA,"",NA,0,0,2021,1,"Sat",14,"Afternoon"
"110","ID0110","Joe",2021-01-02,"14:52:48","Streaming","Y","Y",19,"0:02:38",2,158.0731481,2.633333333,2021,1,"Sat",14,"Afternoon"
"111","ID0111","Becky",2021-01-02,"15:10:05","Technical Support","Y","Y",53,"0:00:56",3,56.02592593,0.933333333,2021,1,"Sat",15,"Afternoon"
"112","ID0112","Diane",2021-01-02,"15:10:05","Technical Support","Y","Y",24,"0:06:06",5,366.1694444,6.1,2021,1,"Sat",15,"Afternoon"
"113","ID0113","Martha",2021-01-02,"15:36:00","Streaming","Y","Y",73,"0:06:01",3,361.1671296,6.016666667,2021,1,"Sat",15,"Afternoon"
"114","ID0114","Stewart",2021-01-02,"15:36:00","Technical Support","N","N",NA,"",NA,0,0,2021,1,"Sat",15,"Afternoon"
"115","ID0115","Jim",2021-01-02,"17:36:58","Technical Support","Y","Y",55,"0:05:47",5,347.1606481,5.783333333,2021,1,"Sat",17,"Afternoon"
"116","ID0116","Greg",2021-01-02,"17:36:58","Payment related","N","N",NA,"",NA,0,0,2021,1,"Sat",17,"Afternoon"
"117","ID0117","Diane",2021-01-02,"17:47:02","Streaming","N","N",NA,"",NA,0,0,2021,1,"Sat",17,"Afternoon"
"118","ID0118","Martha",2021-01-02,"17:47:02","Streaming","Y","Y",23,"0:05:18",4,318.1472222,5.3,2021,1,"Sat",17,"Afternoon"
"119","ID0119","Dan",2021-01-03,"9:10:05","Payment related","Y","N",124,"0:02:23",5,143.0662037,2.383333333,2021,1,"Sun",9,"Morning"
"120","ID0120","Dan",2021-01-03,"9:10:05","Contract related","N","N",NA,"",NA,0,0,2021,1,"Sun",9,"Morning"
"121","ID0121","Dan",2021-01-03,"9:47:31","Technical Support","Y","Y",103,"0:01:01",4,61.02824074,1.016666667,2021,1,"Sun",9,"Morning"
"122","ID0122","Martha",2021-01-03,"9:47:31","Contract related","Y","Y",69,"0:03:45",4,225.1041667,3.75,2021,1,"Sun",9,"Morning"
"123","ID0123","Joe",2021-01-03,"10:29:17","Streaming","Y","Y",78,"0:01:12",3,72.03333333,1.2,2021,1,"Sun",10,"Morning"
"124","ID0124","Martha",2021-01-03,"10:29:17","Technical Support","Y","Y",78,"0:03:26",5,206.0953704,3.433333333,2021,1,"Sun",10,"Morning"
"125","ID0125","Martha",2021-01-03,"10:37:55","Technical Support","N","N",NA,"",NA,0,0,2021,1,"Sun",10,"Morning"
"126","ID0126","Diane",2021-01-03,"10:37:55","Payment related","Y","Y",44,"0:05:38",4,338.1564815,5.633333333,2021,1,"Sun",10,"Morning"
"127","ID0127","Martha",2021-01-03,"10:52:19","Admin Support","Y","Y",35,"0:02:46",4,166.0768519,2.766666667,2021,1,"Sun",10,"Morning"
"128","ID0128","Becky",2021-01-03,"10:52:19","Admin Support","Y","Y",102,"0:05:26",4,326.1509259,5.433333333,2021,1,"Sun",10,"Morning"
"129","ID0129","Jim",2021-01-03,"10:52:19","Contract related","Y","Y",99,"0:05:51",3,351.1625,5.85,2021,1,"Sun",10,"Morning"
"130","ID0130","Jim",2021-01-03,"10:52:19","Admin Support","Y","Y",29,"0:04:09",3,249.1152778,4.15,2021,1,"Sun",10,"Morning"
"131","ID0131","Becky",2021-01-03,"10:58:05","Admin Support","Y","N",42,"0:00:59",5,59.02731481,0.983333333,2021,1,"Sun",10,"Morning"
"132","ID0132","Diane",2021-01-03,"10:58:05","Payment related","Y","Y",113,"0:05:40",4,340.1574074,5.666666667,2021,1,"Sun",10,"Morning"
"133","ID0133","Dan",2021-01-03,"11:02:24","Admin Support","Y","Y",124,"0:00:53",2,53.02453704,0.883333333,2021,1,"Sun",11,"Morning"
"134","ID0134","Jim",2021-01-03,"11:02:24","Technical Support","N","N",NA,"",NA,0,0,2021,1,"Sun",11,"Morning"
"135","ID0135","Dan",2021-01-03,"11:03:50","Payment related","Y","Y",55,"0:02:13",1,133.0615741,2.216666667,2021,1,"Sun",11,"Morning"
"136","ID0136","Greg",2021-01-03,"11:03:50","Technical Support","Y","N",105,"0:05:59",3,359.1662037,5.983333333,2021,1,"Sun",11,"Morning"
"137","ID0137","Stewart",2021-01-03,"11:06:43","Contract related","Y","N",112,"0:03:12",5,192.0888889,3.2,2021,1,"Sun",11,"Morning"
"138","ID0138","Martha",2021-01-03,"11:06:43","Contract related","N","N",NA,"",NA,0,0,2021,1,"Sun",11,"Morning"
"139","ID0139","Becky",2021-01-03,"11:16:48","Technical Support","Y","Y",43,"0:06:20",5,380.1759259,6.333333333,2021,1,"Sun",11,"Morning"
"140","ID0140","Joe",2021-01-03,"11:16:48","Payment related","Y","Y",20,"0:01:44",3,104.0481481,1.733333333,2021,1,"Sun",11,"Morning"
"141","ID0141","Greg",2021-01-03,"11:26:53","Technical Support","Y","Y",84,"0:01:43",5,103.0476852,1.716666667,2021,1,"Sun",11,"Morning"
"142","ID0142","Jim",2021-01-03,"11:26:53","Contract related","Y","Y",20,"0:02:44",4,164.0759259,2.733333333,2021,1,"Sun",11,"Morning"
"143","ID0143","Greg",2021-01-03,"11:38:24","Streaming","Y","Y",101,"0:02:16",3,136.062963,2.266666667,2021,1,"Sun",11,"Morning"
"144","ID0144","Diane",2021-01-03,"11:38:24","Technical Support","Y","Y",31,"0:02:55",5,175.0810185,2.916666667,2021,1,"Sun",11,"Morning"
"145","ID0145","Jim",2021-01-03,"11:52:48","Contract related","Y","Y",56,"0:04:09",5,249.1152778,4.15,2021,1,"Sun",11,"Morning"
"146","ID0146","Joe",2021-01-03,"11:52:48","Contract related","N","N",NA,"",NA,0,0,2021,1,"Sun",11,"Morning"
"147","ID0147","Joe",2021-01-03,"11:55:41","Payment related","Y","Y",77,"0:01:27",5,87.04027778,1.45,2021,1,"Sun",11,"Morning"
"148","ID0148","Jim",2021-01-03,"11:55:41","Payment related","Y","Y",46,"0:00:50",4,50.02314815,0.833333333,2021,1,"Sun",11,"Morning"
"149","ID0149","Stewart",2021-01-03,"11:58:34","Admin Support","Y","Y",88,"0:04:26",3,266.1231481,4.433333333,2021,1,"Sun",11,"Morning"
"150","ID0150","Diane",2021-01-03,"11:58:34","Payment related","Y","Y",88,"0:00:58",1,58.02685185,0.966666667,2021,1,"Sun",11,"Morning"
"151","ID0151","Joe",2021-01-03,"12:33:07","Technical Support","Y","Y",124,"0:06:03",1,363.1680556,6.05,2021,1,"Sun",12,"Morning"
"152","ID0152","Stewart",2021-01-03,"12:33:07","Contract related","N","N",NA,"",NA,0,0,2021,1,"Sun",12,"Morning"
"153","ID0153","Martha",2021-01-03,"12:54:43","Payment related","Y","N",52,"0:06:59",4,419.1939815,6.983333333,2021,1,"Sun",12,"Morning"
"154","ID0154","Joe",2021-01-03,"12:54:43","Admin Support","Y","Y",67,"0:06:10",5,370.1712963,6.166666667,2021,1,"Sun",12,"Morning"
"155","ID0155","Martha",2021-01-03,"13:12:00","Payment related","Y","Y",119,"0:04:16",3,256.1185185,4.266666667,2021,1,"Sun",13,"Afternoon"
"156","ID0156","Dan",2021-01-03,"13:12:00","Admin Support","Y","Y",98,"0:04:37",2,277.1282407,4.616666667,2021,1,"Sun",13,"Afternoon"
"157","ID0157","Jim",2021-01-03,"13:14:53","Technical Support","N","N",NA,"",NA,0,0,2021,1,"Sun",13,"Afternoon"
"158","ID0158","Joe",2021-01-03,"13:14:53","Technical Support","Y","Y",118,"0:04:18",3,258.1194444,4.3,2021,1,"Sun",13,"Afternoon"
"159","ID0159","Becky",2021-01-03,"13:27:50","Admin Support","Y","Y",123,"0:01:15",3,75.03472222,1.25,2021,1,"Sun",13,"Afternoon"
"160","ID0160","Becky",2021-01-03,"13:27:50","Streaming","Y","N",86,"0:05:37",1,337.1560185,5.616666667,2021,1,"Sun",13,"Afternoon"
"161","ID0161","Greg",2021-01-03,"13:35:02","Admin Support","Y","Y",104,"0:02:09",3,129.0597222,2.15,2021,1,"Sun",13,"Afternoon"
"162","ID0162","Greg",2021-01-03,"13:35:02","Payment related","Y","Y",69,"0:01:33",2,93.04305556,1.55,2021,1,"Sun",13,"Afternoon"
"163","ID0163","Dan",2021-01-03,"13:58:05","Contract related","Y","Y",113,"0:02:38",1,158.0731481,2.633333333,2021,1,"Sun",13,"Afternoon"
"164","ID0164","Joe",2021-01-03,"13:58:05","Streaming","Y","Y",88,"0:03:23",5,203.0939815,3.383333333,2021,1,"Sun",13,"Afternoon"
"165","ID0165","Joe",2021-01-03,"13:58:05","Streaming","N","N",NA,"",NA,0,0,2021,1,"Sun",13,"Afternoon"
"166","ID0166","Stewart",2021-01-03,"13:58:05","Payment related","N","N",NA,"",NA,0,0,2021,1,"Sun",13,"Afternoon"
"167","ID0167","Joe",2021-01-03,"14:03:50","Payment related","Y","Y",84,"0:00:58",2,58.02685185,0.966666667,2021,1,"Sun",14,"Afternoon"
"168","ID0168","Diane",2021-01-03,"14:03:50","Streaming","Y","Y",113,"0:01:22",3,82.03796296,1.366666667,2021,1,"Sun",14,"Afternoon"
"169","ID0169","Joe",2021-01-03,"14:47:02","Streaming","Y","Y",38,"0:05:31",4,331.1532407,5.516666667,2021,1,"Sun",14,"Afternoon"
"170","ID0170","Dan",2021-01-03,"14:47:02","Streaming","Y","Y",14,"0:06:14",4,374.1731481,6.233333333,2021,1,"Sun",14,"Afternoon"
"171","ID0171","Martha",2021-01-03,"15:34:34","Streaming","Y","N",25,"0:05:32",4,332.1537037,5.533333333,2021,1,"Sun",15,"Afternoon"
"172","ID0172","Dan",2021-01-03,"15:34:34","Contract related","N","N",NA,"",NA,0,0,2021,1,"Sun",15,"Afternoon"
"173","ID0173","Diane",2021-01-03,"16:29:17","Technical Support","N","N",NA,"",NA,0,0,2021,1,"Sun",16,"Afternoon"
"174","ID0174","Joe",2021-01-03,"16:29:17","Payment related","Y","Y",117,"0:02:07",4,127.0587963,2.116666667,2021,1,"Sun",16,"Afternoon"
"175","ID0175","Stewart",2021-01-03,"17:31:12","Payment related","Y","N",57,"0:06:01",2,361.1671296,6.016666667,2021,1,"Sun",17,"Afternoon"
"176","ID0176","Martha",2021-01-03,"17:31:12","Technical Support","Y","Y",119,"0:05:19",5,319.1476852,5.316666667,2021,1,"Sun",17,"Afternoon"
"177","ID0177","Martha",2021-01-04,"9:01:26","Contract related","N","N",NA,"",NA,0,0,2021,1,"Mon",9,"Morning"
"178","ID0178","Diane",2021-01-04,"9:01:26","Streaming","Y","Y",93,"0:06:32",5,392.1814815,6.533333333,2021,1,"Mon",9,"Morning"
"179","ID0179","Martha",2021-01-04,"9:31:41","Payment related","Y","Y",86,"0:01:04",4,64.02962963,1.066666667,2021,1,"Mon",9,"Morning"
"180","ID0180","Joe",2021-01-04,"9:31:41","Streaming","N","N",NA,"",NA,0,0,2021,1,"Mon",9,"Morning"
